Acronym,Name,Rank,URL,Abstract Deadline,Submission Deadline,Notification Date,Timezone,Topics,Short Description,Other Tracks,Confidence Score,Status
RE,IEEE International Requirements Engineering Conference,A,N/A,,,,,,,N/A,10,Wrong Edition / Date Not Found
RTAS,IEEE Real-Time and Embedded Technology and Applications Symposium,A,https://rtas2027.org,,2026-11-05,2027-01-28,,"Systems and Applications, Applied Methodologies and Foundations","RTAS is a top-tier conference with a focus on systems with timing requirements, covering the design, implementation, verification, and evolution of time-critical systems.",Brief Presentation: 2027-02-11 | Artifact Evaluation: 2026-02-18,10,Success (Official Site)
SANER,"IEEE International Conference on Software Analysis, Evolution and Reengineering",A,https://conf.researchr.org/home/saner-2027,2026-09-21,2026-09-25,,,"Agentic AI systems for software analysis, comprehension, evolution, maintenance, and reengineering, Autonomous or semi-autonomous agents for bug fixing, program repair, refactoring, migration, modernization, and technical debt management, Multi-agent workflows for software engineering, including coordination, delegation, negotiation, and conflict resolution, Planning, memory, tool use, retrieval, execution, and feedback mechanisms for AI agents working with software artifacts, Agentic approaches for code review, testing, debugging, vulnerability analysis, release engineering, continuous integration, and DevOps, Benchmarking and evaluation of agentic AI","The IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER) is the premier event on the theory and practice of recovering information from existing software and systems.",Early Research Achievement (ERA) Track: 2026-10-19 | Industrial Track: 2026-10-19 | Reproducibility Studies and Negative Results (RENE) Track: 2026-10-19 | Short Papers and Posters (SP&P) Track: 2026-10-19 | Tool Demo Track: 2026-10-19 | Agentic AI4SE Track: 2026-10-19 | Workshops & Tutorials (W&T): 2026-10-19,10,Success (Official Site)
SC,"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)",A,,,,,,,,,0,Wrong Edition / Date Not Found
SEAMS,International Symposium on Software Engineering for Adaptive and Self-Managing Systems,A,https://conf.researchr.org/home/seams-2027,,2026-10-21,2026-12-03,,"Foundational concepts for self-adaptive and self-managing systems, Self-* properties (self-configuration, self-healing, self-optimization, self-protection), Uncertainty, partial knowledge, and runtime decision-making, Runtime models, variability, and runtime assurance, Adaptive safety cases and continuous assurance, Evolution, reuse, maintenance, and self-evolution, Processes, methodologies, and DevOps for self-adaptive systems, Self-adaptation for software engineering, Formal methods for self-* systems, Domain-specific languages and programming language support, Sustainability-aware, energy-aware, carbon-aware, and resource-aware adaptation",Research contributions to all topics related to engineering self-adaptive and self-managing systems.,N/A,10,Success (Official Site)
TACAS,Tools and Algorithms for Construction and Analysis of Systems,A,https://etaps.org/2027/,2026-10-15,2026-10-15,2026-12-22,,"rigorously based tools and algorithms for the construction and analysis of systems, utility, reliability, flexibility and efficiency of tools and algorithms for building systems, theoretical papers with clear relevance for tool construction and analysis, tool descriptions and case studies","TACAS is a forum for researchers, developers and users interested in rigorously based tools and algorithms for the construction and analysis of systems.",Mandatory Artifact Submission: 2026-10-29 | Voluntary Artifact Submission: 2027-01-11 | Voluntary Artifact Notification: 2027-02-11,10,Success (Official Site)
USENIX,Usenix Annual Technical Conference,A,,,,,,,,,10,Wrong Edition / Date Not Found
ICPC,"IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)",A,N/A,,,,,,,N/A,10,Wrong Edition / Date Not Found
ICS,ACM International Conference on Supercomputing,A,https://www.sigarch.org/ics/,,,,,"Architecture (power-aware, parallel I/O, grid-based, web-based, continuous monitoring, self-healing, fault-tolerant, embedded), Productivity (benchmarks, performance evaluation studies, specialized languages, program development tools), Systems (compilers, operating systems, schedulers, runtime optimization), Applications (numeric and non-numeric, scientific, biological, industrial, massive sensory processing), Theoretical underpinnings, analysis and experimental evaluation of systems",Premier international forum for presenting research results in high-performance computing systems.,,10,Wrong Edition / Date Not Found
ICSA,International Conference on Software Architecture (was previously WICSA),A,https://conf.researchr.org/icsa2027,2026-10-30,2026-11-04,2026-12-15,,"Case studies of overcoming architectural challenges in real software systems, The application of techniques for architecture design, analysis, and evaluation, Achieving effective architecture knowledge management, The application of AI to software architecture work, Integrating AI into the software architecture of existing systems, Using architecture practices to realize quality attributes (performance, interoperability, maintainability, security, etc.), The management of technical debt",The Enduring Role of Software Architecture in an Evolving Landscape,Working Sessions Proposal Submission: 2026-10-15 | New and Emerging Ideas Abstract Submissions: 2026-12-16,10,Success (Official Site)
